Country,Starbucks,Teavana,EvolutionFresh,CoffeeHouse,TotalStore,CompanyOwned,Licensed,Franchise,JointVenture,COMMONWEALTH OF INDEPENDENT STATES,Population,PopulationDensity,GDP,Literacy,Phones
Guinea-Bissau,0,0,0,0,0,0,0,0,0,SUB-SAHARAN AFRICA,1442029,"39,9",800,"42,4","7,4"
Guyana,0,0,0,0,0,0,0,0,0,LATIN AMERICA & CARIBBEAN,767245,"3,6",4000,"98,8","143,5"
Haiti,0,0,0,0,0,0,0,0,0,LATIN AMERICA & CARIBBEAN,8308504,"299,4",1600,"52,9","16,9"
Honduras,0,0,0,0,0,0,0,0,0,LATIN AMERICA & CARIBBEAN,7326496,"65,4",2600,"76,2","67,5"
Hong Kong,0,0,0,0,0,0,0,0,0,ASIA,6940432,"6355,7",28800,"93,5","546,7"
Hungary,16,0,0,0,16,0,0,0,16,EASTERN EUROPE,9981334,"107,3",13900,"99,4","336,2"
Iceland,0,0,0,0,0,0,0,0,0,WESTERN EUROPE,299388,"2,9",30900,"99,9","647,7"
India,88,0,0,0,88,0,0,0,88,ASIA,1100000000,"333,2",2900,"59,5","45,4"
Indonesia,268,0,0,0,268,0,268,0,0,ASIA,245000000,"127,9",3200,"87,9",52
Iran,0,0,0,0,0,0,0,0,0,ASIA,68688433,"41,7",7000,"79,4","276,4"
Iraq,0,0,0,0,0,0,0,0,0,NEAR EAST,26783383,"61,3",1500,"40,4","38,6"
Ireland,73,0,0,0,73,0,73,0,0,WESTERN EUROPE,4062235,"57,8",29600,98,"500,5"
Isle of Man,0,0,0,0,0,0,0,0,0,WESTERN EUROPE,75441,"131,9",21000,,676
Israel,0,0,0,0,0,0,0,0,0,NEAR EAST,6352117,"305,8",19800,"95,4","462,3"
Italy,0,0,0,0,0,0,0,0,0,WESTERN EUROPE,58133509,193,26700,"98,6","430,9"
Jamaica,0,0,0,0,0,0,0,0,0,LATIN AMERICA & CARIBBEAN,2758124,"250,9",3900,"87,9",124
Japan,1237,0,0,0,1237,101,66,0,1070,ASIA,127000000,"337,4",28200,99,"461,2"
Jersey,0,0,0,0,0,0,0,0,0,WESTERN EUROPE,91084,"785,2",24800,,"811,3"
Jordan,17,0,0,0,17,0,17,0,0,NEAR EAST,5906760,64,4300,"91,3","104,5"
Kazakhstan,8,0,0,0,8,0,8,0,0,COMMONWEALTH OF INDEPENDENT STATES,15233244,"5,6",6300,"98,4","164,1"
Kenya,0,0,0,0,0,0,0,0,0,SUB-SAHARAN AFRICA,34707817,"59,6",1000,"85,1","8,1"
Kiribati,0,0,0,0,0,0,0,0,0,OCEANIA,105432,130,800,,"42,7"
North Korea,0,0,0,0,0,0,0,0,0,ASIA,120540,"24,04",1300,99,"42,4"
South Korea,993,0,0,0,993,0,0,0,993,ASIA,98480,"7,05",17800,"97,9","486,1"
Kuwait,106,0,0,0,106,0,106,0,0,NEAR EAST,2418393,"135,7",19000,"83,5",211
Kyrgyzstan,0,0,0,0,0,0,0,0,0,COMMONWEALTH OF INDEPENDENT STATES,5213898,"26,3",1600,97,84
Laos,0,0,0,0,0,0,0,0,0,ASIA,6368481,"26,9",1700,"66,4","14,1"
Latvia,0,0,0,0,0,0,0,0,0,BALTICS,2274735,"35,2",10200,"99,8","321,4"
Lebanon,29,0,0,0,29,0,29,0,0,NEAR EAST,3874050,"372,5",4800,"87,4","255,6"
Lesotho,0,0,0,0,0,0,0,0,0,SUB-SAHARAN AFRICA,2022331,"66,6",3000,"84,8","23,7"
Liberia,0,0,0,0,0,0,0,0,0,SUB-SAHARAN AFRICA,3042004,"27,3",1000,"57,5","2,3"
Libya,0,0,0,0,0,0,0,0,0,NORTHERN AFRICA,5900754,"3,4",6400,"82,6","127,1"
Liechtenstein,0,0,0,0,0,0,0,0,0,WESTERN EUROPE,33987,"212,4",25000,100,"585,5"
Lithuania,0,0,0,0,0,0,0,0,0,BALTICS,3585906,55,11400,"99,6","223,4"
Luxembourg,2,0,0,0,2,0,2,0,0,WESTERN EUROPE,474413,"183,5",55100,100,"515,4"
Macau,0,0,0,0,0,0,0,0,0,ASIA,453125,16183,19400,"94,5","384,9"
Macedonia,0,0,0,0,0,0,0,0,0,EASTERN EUROPE,2050554,"80,9",6700,,260
Madagascar,0,0,0,0,0,0,0,0,0,SUB-SAHARAN AFRICA,18595469,"31,7",800,"68,9","3,6"
Malawi,0,0,0,0,0,0,0,0,0,SUB-SAHARAN AFRICA,13013926,"109,8",600,"62,7","7,9"
Malaysia,234,0,0,0,234,0,228,0,6,ASIA,24385858,74,9000,"88,7",179
Maldives,0,0,0,0,0,0,0,0,0,ASIA,359008,"1196,7",3900,"97,2",90
Mali,0,0,0,0,0,0,0,0,0,SUB-SAHARAN AFRICA,11716829,"9,5",900,"46,4","6,4"
Malta,0,0,0,0,0,0,0,0,0,WESTERN EUROPE,400214,"1266,5",17700,"92,8",505
Marshall Islands,0,0,0,0,0,0,0,0,0,OCEANIA,60422,"5,1",1600,"93,7","91,2"
Martinique,0,0,0,0,0,0,0,0,0,LATIN AMERICA & CARIBBEAN,436131,"396,5",14400,"97,7","394,4"
Mauritania,0,0,0,0,0,0,0,0,0,SUB-SAHARAN AFRICA,3177388,"3,1",1800,"41,7","12,9"
Mauritius,0,0,0,0,0,0,0,0,0,SUB-SAHARAN AFRICA,1240827,"608,3",11400,"85,6","289,3"
Mayotte,0,0,0,0,0,0,0,0,0,SUB-SAHARAN AFRICA,201234,"538,1",2600,,"49,7"
Mexico,579,0,0,0,579,0,579,0,0,LATIN AMERICA & CARIBBEAN,107000000,"54,5",9000,"92,2","181,6"
Micronesia,0,0,0,0,0,0,0,0,0,OCEANIA,702,"30,21",2000,89,"114,8"
Moldova,0,0,0,0,0,0,0,0,0,COMMONWEALTH OF INDEPENDENT STATES,4466706,132,1800,"99,1","208,1"
Monaco,2,0,0,0,2,0,2,0,0,WESTERN EUROPE,32543,"16271,5",27000,99,"1035,6"
Mongolia,0,0,0,0,0,0,0,0,0,ASIA,2832224,"1,8",1800,"97,8","55,1"
Montserrat,0,0,0,0,0,0,0,0,0,LATIN AMERICA & CARIBBEAN,9439,"92,5",3400,97,
Morocco,9,0,0,0,9,0,9,0,0,NORTHERN AFRICA,33241259,"74,4",4000,"51,7","40,4"
